id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Eric;Daugherty;Frederick_OConnell72@hotmail.com;local area network Benin;2019-11-08T00:33:49;36771;63633
2;Dimitri;Friesen;Lamar.Wiza48@gmail.com;Investor users dot-com;2019-11-07T21:17:34;57690;66892
3;Jeramie;Stracke;Daren.Reichert@gmail.com;Shoes deposit;2019-11-08T08:31:28;99455;94045
4;Janet;Wilkinson;Tavares_Tillman@gmail.com;Factors;2019-11-08T04:50:14;42818;55276
5;Vita;Marquardt;Wilhelmine29@hotmail.com;reinvent;2019-11-07T16:20:53;26847;31692
6;Jazmyne;Dach;Kaylie_Huels69@yahoo.com;Arkansas Intelligent Credit Card Account;2019-11-07T13:00:51;35864;14008
7;Deonte;Larson;Serenity_Hammes69@gmail.com;Sudanese Pound;2019-11-08T04:08:51;55281;29359
8;Elenora;Schowalter;Ramiro_Gaylord91@yahoo.com;Avon;2019-11-08T00:44:20;62789;79829
9;Clemmie;O'Conner;Maybelle.Hyatt89@gmail.com;value-added incubate Practical;2019-11-07T22:53:48;67202;3594
10;Erling;Kohler;Karen83@gmail.com;TCP Assimilated;2019-11-08T11:50:35;82260;30326
